"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 20:22:46 GMT 2024","Thu Feb 22 20:22:48 GMT 2024","1642","chromium","example.spec.ts","parametrized tests","","","test book title: Learning JavaScript Design Patterns",""
"passed","Thu Feb 22 20:22:51 GMT 2024","Thu Feb 22 20:22:53 GMT 2024","2069","chromium","example.spec.ts","parametrized tests","","","test book title: Understanding ECMAScript 6",""
"passed","Thu Feb 22 20:22:37 GMT 2024","Thu Feb 22 20:22:39 GMT 2024","1860","chromium","example.spec.ts","example","","","login button exist",""
"passed","Thu Feb 22 20:22:41 GMT 2024","Thu Feb 22 20:22:43 GMT 2024","2004","chromium","example.spec.ts","example","","","second tab",""
"passed","Thu Feb 22 20:22:34 GMT 2024","Thu Feb 22 20:22:43 GMT 2024","8779","chromium","example.spec.ts","example","","","login",""
"failed","Thu Feb 22 20:22:44 GMT 2024","Thu Feb 22 20:22:44 GMT 2024","66","chromium","example.spec.ts","example","","","failing test",""
"passed","Thu Feb 22 20:22:34 GMT 2024","Thu Feb 22 20:22:37 GMT 2024","3061","chromium","example.spec.ts","example","","","failed login",""
"passed","Thu Feb 22 20:22:43 GMT 2024","Thu Feb 22 20:22:46 GMT 2024","3129","chromium","example.spec.ts","parametrized tests","","","test book title: Git Pocket Guide",""
"skipped","Thu Feb 22 20:22:34 GMT 2024","Thu Feb 22 20:22:34 GMT 2024","1","chromium","example.spec.ts","example","","","login title",""
"passed","Thu Feb 22 20:22:50 GMT 2024","Thu Feb 22 20:22:52 GMT 2024","2177","chromium","example.spec.ts","parametrized tests","","","test book title: Speaking JavaScript",""
"passed","Thu Feb 22 20:22:48 GMT 2024","Thu Feb 22 20:22:50 GMT 2024","2447","chromium","example.spec.ts","parametrized tests","","","test book title: Designing Evolvable Web APIs with ASP.NET",""
"passed","Thu Feb 22 20:22:39 GMT 2024","Thu Feb 22 20:22:41 GMT 2024","1712","chromium","example.spec.ts","example","","","mocked one book",""
"passed","Thu Feb 22 20:22:44 GMT 2024","Thu Feb 22 20:22:47 GMT 2024","2767","chromium","example.spec.ts","parametrized tests","","","test book title: You Don't Know JS",""
"passed","Thu Feb 22 20:22:49 GMT 2024","Thu Feb 22 20:22:51 GMT 2024","1942","chromium","example.spec.ts","parametrized tests","","","test book title: Eloquent JavaScript, Second Edition",""
"passed","Thu Feb 22 20:22:47 GMT 2024","Thu Feb 22 20:22:49 GMT 2024","1642","chromium","example.spec.ts","parametrized tests","","","test book title: Programming JavaScript Applications",""
